NO,NO2,NOx,NH3,CO,SO2
15.66,31.54,47.2,16.18,0.66,5.95
21.31,41.19,62.5,15.45,0.68,6.3
21.29,55.99,77.28,18.35,0.98,7.63
48.56,48.29,93.9,20.81,1.12,8.28
49.49,47.23,93.54,22.7,1.3,10.52
65,44.95,104.64,23.11,1.58,10.32
71.62,42.07,110.22,22.24,1.49,11.8
39.85,44.52,84.15,22.07,1.24,11.77
36.83,40.8,76.32,20.89,1.17,11.7
43.7,43.88,85.32,22.38,1.32,14.01
47.34,43.92,88.43,22.89,1.4,13.46
21.19,29,50.18,22.26,0.76,10.5
27.08,21.6,45.51,19.6,0.64,8.01
13.46,22.88,34.71,16.2,0.56,4.22
25.75,38.17,62.06,17.89,0.84,8.11
30.65,43.82,70.91,18.82,1.03,8.65
31.63,46.68,75.13,19.18,1.12,7.48
51.93,38.05,81.8,22.59,1.31,8.75
36.72,35.54,67.27,23.47,1.28,6.21
16.67,40.07,55.74,21.14,0.77,7.25
36.17,47.47,82.28,20.72,0.96,9.38
16.91,36.64,51.75,21.09,0.87,7.87
32.11,39.96,68.25,20.77,0.9,9.22
24.39,39.85,61.71,21.46,1,7.72
14.68,31.18,44.17,20.06,1.03,9.26
17.49,36.19,51.98,18.16,0.93,8.38
26.37,38.82,62.47,19.31,1.05,8.71
31.29,48.17,76.66,19.98,1.1,8.9
43.06,52.26,94.87,20.6,1.11,8.5
33.45,48.61,82.04,19.47,0.87,9.01
37.35,45.62,82.97,19.77,0.88,9.59
26.61,47.33,73.92,18.7,0.95,10.41
40.65,54.75,95.3,21.74,1.3,9.46
40.77,61.16,101.97,23.17,1.25,12.09
52.42,59.13,110.76,30.49,1.32,14.81
37.9,46.33,84.24,23.47,1,10.38
26.82,35.82,62.63,23.77,0.75,9.11
27.56,53.25,80.8,21.75,0.97,12.37
37.84,57.94,95.9,21.11,1.19,13.28
35.27,56.76,92.03,21.9,1.22,12.73
38.95,49.44,86.91,20.22,0.95,11.32
17.35,50.32,67.68,21.45,0.75,14.57
27.45,57.91,85.28,23.77,0.92,15.46
63.03,71.94,132.6,23.88,1.37,16.66
61.44,58.47,120.01,26.05,1.24,16.08
23.67,32.11,55.78,28.59,0.65,13.19
49.03,28.46,77.28,21.12,0.77,16.93
20.36,26.55,46.47,21.76,0.46,17.25
21.57,27.93,48.46,19.32,0.52,15.98
17.09,26.95,43.7,19.16,0.53,17.87
21.05,19.07,40.01,17.49,0.43,17.17
14.59,23.93,38.51,16.16,0.48,9.15
20.26,31.81,52.07,14.65,0.57,9.73
17.46,31.06,48.52,16.27,0.67,9.61
19.71,20.36,39.93,18.29,0.77,12.7
13.42,19.18,32.6,14.87,0.43,11.07
17.93,24.74,42.67,14.78,0.49,10.72
12.31,30.64,42.95,14.74,0.5,7.84
11.69,34.81,46.5,15.92,0.58,7.96
42.39,41.75,84.12,17.02,1.01,12.24
42.84,53.12,95.94,22.98,1.24,14.86
73.59,52.95,125.6,19.98,1.66,15.1
47.33,42.38,89.72,20.92,1.02,11.79
24.02,26.7,49.39,23.04,0.6,7.97
32.78,14.85,45.69,22.48,0.5,6.6
23.5,16.51,38.19,20.59,0.47,11
12.44,9.46,20.96,16.68,0.36,12.08
9.84,11.07,20.27,14.84,0.42,12.02
10.91,12.34,22.74,13.82,0.52,8.75
10.93,11.34,21.67,11.97,0.5,8.32
11.52,11.3,21.6,11.6,0.43,10.16
8.32,8.64,16.85,11.1,0.4,7.19
7.49,11.9,19.07,11.2,0.48,7.55
6.46,9.89,16.35,9.98,0.42,7.27
7.59,9.66,17.25,9.82,0.43,6.86
9.69,9,18.14,10.37,0.46,7.26
9.72,7.77,17.03,10.35,0.4,6.55
8.63,8.62,16.94,9.96,0.43,6.84
8.18,7.58,15.5,9.2,0.39,6.49
9.35,7.94,16.89,8.72,0.42,6.47
10.76,8.48,18.47,8.25,0.44,6.67
10.49,6.55,16.46,7.73,0.36,7.06
12.88,6.24,18.28,7.31,0.36,7.06
14.47,6.72,20.06,7.97,0.37,6.95
14.81,6.81,20.89,9.05,0.38,8.89
12.95,6.96,19.36,8.32,0.37,8.49
12.22,7.98,19.82,6.82,0.44,7.97
12.69,9.13,21.29,6.12,0.45,7.79
14.18,9.18,22.44,6.31,0.44,7.39
14.12,10.47,23.66,7.83,0.53,7.61
14.66,9.77,23.66,8.03,0.72,7.78
12.42,9.16,21.06,6.81,0.59,6.73
15.73,7.89,22.75,6.21,0.64,6.36
14.47,8.08,21.9,7.02,0.63,6.34
12.36,9.07,21.07,7.11,0.65,6.79
13.28,10.38,23.34,9.29,0.7,7.88
15.42,6.97,21.67,10.49,0.57,7.59
17.22,6.11,22.57,8.12,0.41,8.4
18.58,6.99,24.9,7.04,0.4,10.28
17.53,6.09,22.62,6.92,0.38,11.57
15.01,6.5,20.87,6.74,0.32,12.46
17.43,8.25,24.82,6.13,0.36,14.12
15.92,5.72,20.66,6.06,0.34,14.37
13.63,7.66,20.73,6.12,0.35,13.98
19.66,6.68,28.03,5.42,0.36,14.49
15.49,6.96,21.92,5.42,0.33,15.2
16.95,5.22,21.04,5.11,0.32,16.97
8.62,42.92,47.85,49.8,2.75,10.66
21.11,31.33,43.25,49.83,1.47,8.33
19.81,22.25,39.17,45.5,1.2,8.66
18.73,34.37,49.02,39.66,1.13,7.04
19.61,32.19,49.18,32.82,1.38,7.62
20.62,29.77,48.57,25.25,1.42,8.13
31.1,34.5,64.26,27.59,1.81,8.64
46.5,36.69,82.49,28.8,2.41,7.45
45.23,36.74,81.09,27.28,2.71,7.99
46.55,35.29,78.83,31.46,3.03,9.22
40.49,31.59,70.31,33.33,2.17,8.14
48.39,25.79,73.4,29.47,1.62,8.45
29.64,23.89,52.81,26.89,1.37,8.12
27.94,31.45,58.67,32.81,1.84,7.49
49.98,35.42,84.61,34.62,2.41,7.14
54.75,32.84,86.53,30.9,2.45,8.47
36.27,27.17,62.86,28.47,1.31,7.87
38.4,26.64,64.39,30.55,1.79,7.98
39.04,35.09,73.54,28.22,2.43,7.72
43.62,29.37,71.96,32.08,2.64,7.34
64.44,33.01,91.2,19.65,3.65,11.17
69.89,25.34,94.37,14.62,4.16,12.28
67.57,36.23,98.56,18.88,4.05,12.23
64.27,36.59,99.28,27.83,3.27,10.93
31.14,39.22,69.02,26.91,2.07,11.24
54.16,24.39,75.21,30.57,0.95,10.92
57.96,23.75,81.16,21.25,0.76,11.8
68.66,29.47,97.6,19.91,0.87,10.29
107.88,42.38,141.74,22.38,1.49,10.71
74.61,48.03,115.78,21.43,1.56,9.72
55.55,47.62,99.05,20.99,1.26,9.09
50.88,42.59,90.8,21.29,0.84,11.35
79.2,43.86,119.9,28.37,1.2,10.42
92.9,39.57,130.35,30.78,1.43,10.33
92.59,40.53,131.91,32.43,1.69,10.37
81.87,45.89,124.91,36.34,1.46,10.59
62.27,37.57,96.2,35.33,1.18,10.48
34.98,33.1,70.53,39.18,1.47,11.1
51.93,40.28,90.82,31.98,0.82,10.31
41.1,45.34,84.26,33.67,1.03,10.53
37.12,37.85,73.98,32.47,0.73,9.85
55.37,43.43,96.95,25.51,1.05,9.91
114.81,48.55,161.95,17.92,1.74,10.2
69.35,49.02,117.13,36.09,1.3,10.78
105.41,57.85,163.1,28.41,1.3,10.54
132.03,65.46,197.71,21.12,1.52,8.7
109.82,60.31,165.36,25.3,1.37,9.63
70.73,60.09,126.92,23.44,1.47,8.57
63.82,53.96,115.49,30.99,1.36,9.59
57.4,57.63,102.79,26.71,1.25,8.98
25.07,56.97,64.03,29.13,1,7.51
51.42,54.59,103.98,40.76,1.26,7.07
67.53,48.16,113.68,45.26,1.36,6.74
49.57,51.63,96.69,41.95,0.83,6.54
88.38,63.63,152.09,40.13,1.02,7.02
78.3,70.85,148.93,32,1.17,6.89
46.99,63.36,108.66,33.3,1.1,6.31
65.47,71.1,126.38,33.71,1.32,6.52
69.4,62.39,127.25,36.62,1.2,7.06
30.38,35.76,61.08,36.32,0.96,7.34
34.41,40.41,72.16,35.29,1.01,8.72
56.26,49.2,95.65,34.77,1.12,11.01
43.81,40.63,81.91,28.4,0.9,8.19
39.94,33.22,68.27,28.29,0.79,8.69
62.21,34.22,93.46,22.91,0.79,7.1
66.38,42.21,96.74,27.28,0.98,6.85
83.94,46.36,79.46,31.09,1.36,8.11
126.93,47.86,98.58,35.94,1.54,8.66
105.03,53.17,96.77,36.2,1.35,9.43
67.76,60.4,94.16,35.25,1.25,9.4
87.68,59.54,111.01,33.5,1.28,9.27
65.98,50.6,96.2,25.75,1.19,8.18
41.1,46.42,80.49,24.17,0.9,7.35
23.99,40.42,53.75,25.8,0.69,9.77
42.04,48.29,70.27,22.17,0.81,9.21
50.82,57.21,80.27,22.75,0.89,10.96
32.94,60.63,67.04,21.77,0.91,10.86
29.94,56.39,64.66,23.24,1.32,10.61
33.52,56.35,67.25,22.24,1.01,10.76
55.63,57.59,86.43,22.81,1.26,11.98
61.82,48.93,84.2,21.68,1.04,10.36
49.37,37.39,66.39,19.31,1.04,9.85
62.01,40.56,57.98,20.16,1.18,10.52
50.95,40.05,54.3,18.78,1.4,10.19
57.11,46.86,57.58,18.63,1.47,9.92
62.75,68.05,64.18,20.07,1.57,9.6
60.09,71.81,58.24,17.1,1.4,10.81
68.65,61.85,70.61,18.72,1.6,12.79
79.46,60.87,79.79,20.08,1.88,12.85
61.67,47.26,66.81,18.29,1.54,12.21
57.01,44.45,64.96,16.13,1.45,12.91
69.45,48.75,80.41,14.5,1.63,13.09
52.49,47.99,66.72,14.13,1.74,13.57
51.67,46.63,65.41,14.24,1.71,13.26
51.61,45.25,64.28,13.88,1.68,12.52
47.07,43.29,59.88,12.38,1.49,11.73
9.94,50.82,25.29,13.37,0.62,11.6
7.69,55.75,24.29,12.52,0.53,11.76
54.07,46.23,64.97,12.6,1.61,12.44
55.33,47.14,68.39,12.94,1.86,12.02
50.2,43.73,62.84,13.87,1.79,12.62
36.73,47.11,51.85,12.02,1.55,11.53
48.09,48.52,53.03,12.07,1.47,11.9
55.6,49.1,57.79,11.8,1.43,11.35
46.35,48.99,51,11.97,1.42,11.73
43.36,48.88,59.45,11.56,1.64,11.83
47.49,52.98,72.57,11.86,1.76,11.5
39.83,52.66,70.26,12.28,1.76,13.4
43.93,37.04,46.09,12.87,1.44,11
66.61,17.67,50.3,15.74,1.53,10.23
58.33,18.86,46.05,15.87,1.47,10.81
66.58,17.36,49.13,15.63,1.37,10.03
53.48,18.38,42.84,14.49,1.4,9.95
74.44,17.61,54.86,13.59,1.27,9.7
65.96,20.4,51.46,13.06,1.32,9.71
69.71,15.28,50.49,13.41,1.35,9.8
64.46,14.91,47.22,13.8,1.37,9.9
51.52,14.6,39.22,14,1.4,9.46
68.61,15.49,50.14,13.32,1.28,9.79
65.76,15.59,48.5,12.63,1.29,9.61
63.42,16.04,47.55,11.17,0.93,10.19
54.14,16.92,42.53,11.91,0.45,10.09
75.71,17.02,55.3,11.52,0.42,10.12
61.52,12.84,44.52,11.72,0.38,9.94
79.59,11.95,54.83,11.08,0.37,10.26
77.24,14.17,57.37,11.3,0.43,9.83
66.2,11.68,58.88,11.3,0.39,8.63
79.67,13.5,69.42,10.13,0.42,9.37
69.32,14.46,61.62,10.08,0.52,11.96
75.87,11.84,65.66,12.02,0.52,7.86
1.27,3.56,1.39,3.66,0.35,4.99
1.28,3.5,1.33,3.64,0.29,5.15
1.33,3.53,1.28,3.63,0.31,5.85
1.31,3.49,1.27,3.65,0.34,5.97
1.32,3.54,1.29,3.65,0.29,5.86
1.31,3.52,1.3,3.63,0.23,5.76
1.32,3.61,1.36,3.63,0.23,5.56
1.26,3.56,1.4,3.64,0.19,5.55
1.28,3.63,1.44,3.66,0.28,5.14
1.24,3.57,1.44,3.64,0.25,4.99
1.23,3.55,1.44,3.65,0.29,4.93
1.23,3.56,1.44,3.65,0.18,5
1.26,3.57,1.41,3.64,0.18,5.11
1.22,3.55,1.45,3.65,0.21,5.14
1.21,3.53,1.45,3.65,0.24,5.46
1.29,3.54,1.35,3.64,0.29,6.12
1.3,3.51,1.32,3.65,0.23,5.69
1.27,3.61,1.44,3.64,0.32,5.13
1.17,3.49,1.46,3.64,0.17,5.23
1.23,3.58,1.46,3.64,0.18,5.27
1.19,3.56,1.5,3.64,0.2,5.2
1.22,3.55,1.46,3.64,0.23,5.34
2.94,5.07,0.96,3.66,0.22,5.4
1.42,3.42,1.29,3.66,0.27,5.53
1.23,3.56,1.46,3.64,0.32,5.63
1.18,3.54,1.48,3.66,0.28,5.69
1.21,3.53,1.45,3.66,0.27,5.59
1.2,3.59,1.51,3.65,0.35,5.54
1.16,3.55,1.52,3.66,0.49,5.49
1.15,3.54,1.52,3.66,0.43,5.48
1.14,3.52,1.52,3.66,0.4,5.55
1.17,3.59,1.55,3.66,0.46,5.66
1.15,3.55,1.53,3.66,0.24,5.68
1.13,3.54,1.55,3.66,0.26,5.63
1.15,3.56,1.54,3.67,0.46,5.68
1.16,3.57,1.53,3.68,0.32,5.69
1.12,3.58,1.58,3.66,0.29,5.75
1.12,3.55,1.57,3.67,0.53,5.87
1.13,3.5,1.52,3.67,0.46,5.98
1.11,3.5,0.63,3.62,0.29,5.77
1.23,3.63,0.76,3.62,0.44,5.76
1.14,3.58,1.58,3.66,0.31,6.14
1.16,3.54,1.51,3.65,0.26,6.26
1.19,3.55,1.48,3.65,0.31,6.44
1.14,3.56,1.56,3.65,0.3,6.41
1.16,3.57,1.54,3.66,0.33,6.5
1.15,3.54,1.53,3.63,0.38,6.61
1.12,3.55,1.58,3.65,0.43,6.5
1.14,3.58,1.57,3.66,0.31,6.58
1.12,3.51,1.53,3.64,0.29,6.59
1.14,3.56,1.56,3.66,0.22,6.73
1.14,3.54,1.55,3.65,0.31,6.81
1.14,3.51,1.51,3.66,0.46,6.99
1.18,3.52,1.5,3.64,0.41,7.2
1.12,3.56,1.58,3.68,0.36,6.54
0.84,2.66,0.15,2.9,0.03,6.37
0.5,1.51,0.55,1.54,0.31,3.48
0.29,0.95,0.36,0.98,0.06,2.08
0.58,1.83,0.73,1.87,0.15,3.96
0.47,1.52,0.62,1.6,0.17,3.38
0.61,1.91,0.75,2.03,0.2,4.43
0.53,1.62,0.54,1.64,0.17,3.58
0.59,1.85,0.75,1.89,0.12,4.23
0.85,2.6,0.92,2.66,0.16,5.91
0.78,2.46,1.08,2.56,0.19,5.74
0.78,2.49,1.1,2.53,0.19,5.69
0.75,2.42,1.08,2.48,0.25,5.49
0.63,1.97,0.77,2.07,0.21,4.67
0.42,1.28,0.52,1.33,0.15,3.09
0.56,1.86,0.84,1.92,0.15,4.36
0.6,1.88,0.82,1.93,0.15,4.35
0.54,1.67,0.71,1.73,0.13,3.92
0.58,1.81,0.78,1.85,0.14,4.16
0.59,1.85,0.79,1.89,0.32,4.25
0.52,1.65,0.71,1.69,0.2,3.83
0.53,1.7,0.73,1.76,0.38,3.98
0.51,1.58,0.67,1.62,0.15,3.65
0.72,2.28,0.99,2.31,0.16,5.31
0.68,2.07,0.88,2.12,0.18,5.09
0.68,2.11,0.87,2.14,0.23,5.28
0.62,1.92,0.83,1.94,0.22,4.82
0.62,1.93,0.82,2.03,0.23,4.86
0.65,2.06,0.89,2.1,0.17,4.92
0.53,1.63,0.7,1.68,0.16,3.97
0.53,1.66,0.72,1.71,0.2,4.07
0.26,0.84,0.34,0.86,0.1,2.11
0.27,0.81,0.31,0.85,0.1,2.09
0.44,1.38,0.6,1.43,0.18,3.47
0.73,2.24,0.96,2.31,0.25,5.67
0.9,2.87,1.26,2.97,0.26,7.32
0.64,2.06,0.91,2.15,0.17,5.23
0.71,2.28,0.95,2.32,0.19,5.67
0.74,2.32,0.98,2.42,0.17,5.93
0.7,2.24,0.97,2.32,0.16,5.74
0.65,2.04,0.89,2.11,0.14,5.25
0.69,2.2,0.96,2.27,0.17,5.88
0.73,2.28,1,2.33,0.18,6.08
0.77,2.48,1.1,2.6,0.33,6.75
0.71,2.26,1,2.31,0.25,5.81
0.74,2.38,1.07,2.45,0.23,5.99
0.69,2.33,1.07,2.4,0.17,6.15
0.63,2.12,0.98,2.16,0.28,5.17
0.67,2.17,0.94,2.22,0.3,5.48
0.57,1.83,0.46,1.88,0.12,4.93
0.6,1.89,0.3,1.9,0.2,5.56
0.77,2.43,1.05,2.5,0.67,6.85
0.91,2.96,1.32,3.05,0.28,7.95
0.76,2.47,1.11,2.5,0.2,6.64
0.85,2.82,1.28,2.89,0.36,7.76
0.87,2.74,1.21,2.79,0.47,7.73
0.91,2.84,1.23,2.91,0.43,8.02
0.73,2.31,0.7,2.34,0.22,6.48
0.74,2.36,0.38,2.45,0.14,6.99
0.77,2.41,1.05,2.47,0.25,7.36
0.78,2.53,1.1,2.63,0.18,7.93
0.8,2.57,1.13,2.65,0.22,7.82
0.78,2.47,1.08,2.54,0.29,7.12
0.74,2.37,1.05,2.44,0.22,6.9
0.88,2.87,1.29,2.95,0.23,8.51
0.92,2.91,1.24,2.96,0.53,8.38
0.78,2.6,1.19,2.67,0.34,7.61
0.82,2.68,1.21,2.68,0.33,7.66
0.75,2.48,1.12,2.54,0.56,7.15
0.71,2.35,1.04,2.43,0.63,7
0.79,2.6,1.2,2.64,0.59,7.46
0.75,2.44,1.09,2.48,0.33,7.37
0.74,2.4,1.07,2.46,0.35,7.23
0.76,2.46,1.08,2.53,0.27,7.6
0.97,3.05,1.32,3.12,0.33,9.46
1.02,3.2,1.37,3.25,0.55,10.06
0.92,2.97,1.33,3.04,0.56,9.26
1,3.29,1.51,3.33,0.53,10.3
0.94,3.14,1.43,3.19,0.41,9.73
0.99,3.18,1.41,3.25,0.57,10.34
0.84,2.67,1.18,2.7,0.37,8.91
0.93,2.85,1.22,2.95,0.26,9.69
0.97,3.03,1.29,3.12,0.58,10.2
0.94,2.82,1.18,2.94,0.56,9.85
0.87,2.71,1.17,2.78,0.4,9.24
0.76,2.41,1.07,2.46,0.52,7.98
0.74,2.38,1.06,2.41,0.35,7.96
0.78,2.51,1.1,2.52,0.37,8.15
0.73,2.38,1.07,2.46,0.32,7.81
0.83,2.63,1.16,2.71,0.49,8.87
0.87,2.79,1.24,2.85,0.48,9.64
0.9,2.79,1.19,2.86,0.59,9.91
0.84,2.69,1.18,2.74,0.49,9.3
0.83,2.64,1.17,2.73,0.33,9.3
0.88,8.15,1.09,2.58,0.3,3.96
0.82,2.56,1.12,2.61,0.34,3.23
0.86,2.72,1.17,2.78,0.23,3.3
0.84,2.7,1.2,2.81,0.35,3.25
0.79,2.44,1.04,2.49,0.24,3.09
0.86,2.64,1.14,2.72,0.22,3.66
0.88,2.65,1.11,2.72,0.24,4.23
0.83,2.61,1.15,2.7,0.31,4.21
0.81,2.55,1.09,2.59,0.2,3.85
0.85,2.64,1.15,2.71,0.23,3.85
0.88,2.77,1.22,2.85,0.32,3.99
0.89,2.78,1.21,2.86,0.25,4.09
0.87,2.74,1.17,2.82,0.22,3.57
0.93,2.91,1.22,2.98,0.17,3.94
0.99,3.08,1.34,3.19,0.31,4.76
1.03,3.11,1.31,3.2,0.29,5.22
0.99,2.94,1.23,3.05,0.23,5.02
0.8,2.35,0.97,2.42,0.22,4.93
0.81,2.34,0.96,2.4,0.28,4.68
0.91,2.58,1.02,2.72,0.32,5.3
0.88,2.55,1.02,2.61,0.21,4.85
0.86,2.53,1.04,2.57,0.21,5.4
0.96,2.69,1.05,2.75,0.31,6.19
0.92,2.7,1.1,2.77,0.31,6.61
0.83,2.48,1.03,2.56,0.33,5.23
0.91,2.73,1.16,2.86,0.33,6.69
0.88,2.62,1.1,2.69,0.33,5.41
0.8,2.44,1.03,2.5,0.21,4.43
0.79,2.46,1.07,2.55,0.24,4.53
0.87,2.67,1.15,2.75,0.22,5.24
0.92,2.8,1.18,2.87,0.3,5.86
0.89,2.64,1.09,2.74,0.28,5.86
0.87,2.57,1.07,2.67,0.26,6.69
0.85,2.45,0.99,2.53,0.19,6.37
0.88,2.46,0.96,2.56,0.21,7.51
0.89,2.52,0.98,2.58,0.35,9.03
0.85,2.35,0.9,2.45,0.35,8.86
0.9,2.55,1,2.64,0.3,8.82
0.98,2.83,1.14,2.95,0.23,10.68
1,2.87,1.14,3.01,0.21,9.04
0.92,2.67,0.28,2.79,0.05,7.86
0.61,1.88,0.35,1.86,0.07,4.22
0.47,1.44,0.61,1.42,0.08,3.3
19.07,27.17,46.24,9.65,1.62,38.32
33.86,54.41,88.22,8.64,2.09,63.77
12.42,17.65,29.99,10.55,0.58,51.74
28.61,32.76,61.35,8.53,1.3,54.35
70.66,68.73,139.34,6.54,1.77,66.46
44.88,48.53,93.46,5.88,1.42,69.76
70.66,69.51,140.12,5.42,1.96,79.83
41.74,47.28,89.11,5.73,1.3,57.58
23.46,32.28,55.72,8.2,1.23,39.42
49.2,48.33,97.52,7.93,1.54,57.99
100.62,94.69,195.22,7.69,2.73,72.67
99.67,99.8,183.72,9.87,2.56,78.68
36.01,44.13,80.14,15.4,2.34,57.81
30.62,37.09,65.96,15.49,2.12,51.47
46.95,59.91,106.99,12.05,2.41,59.2
51.59,59.94,99.82,10.19,2.08,51.38
81.8,76.15,153.57,13.07,2.69,45.31
121.17,27.03,124.82,30.09,2.05,38.16
113.49,32.55,118.98,28.91,2.43,50.51
73.59,27.44,90.31,27.32,2.35,47.24
173.68,36.38,185.73,28.93,3.3,52.69
80.8,30.83,104.99,25.67,2.27,50.81
57.74,26.55,82.66,23.23,1.93,57.6
73.26,35.12,101.13,25.13,2.05,59.84
50.46,27.81,67.24,24.24,1.46,53.04
67.8,36.17,88.72,23.86,1.97,40.02
78.09,28.4,97.95,26.96,2.06,32.51
32.1,27.52,59.55,23.7,1.69,60.2
25.98,48.95,71.18,22.33,2.07,30.63
140.16,43.96,184.13,25.29,3.34,4.21
125.44,31.96,155.71,26.85,2.97,24.63
29.47,28.68,44.97,23.66,1.86,11.95
33.45,20.49,38.95,18.29,2.07,22.95
15.03,19.34,22.1,7.36,1.9,31.73
10.76,20.37,17.79,11.14,1.46,43.94
22.13,18.51,26.93,11.43,1.84,38.31
58.77,22.58,75.12,10.83,2.74,56.31
110.03,32.85,142.85,10.97,3.19,70.46
32.36,29.3,44.85,13.12,1.61,50.21
14.09,17.11,17.71,11.73,1.58,31.26
13.3,11.38,12.5,13.34,1.6,16.81
9.73,10.88,12.5,12.21,1.49,18.46
65.8,4.7,65.58,17.55,1.8,31.76
10.25,10.7,9.8,12.03,1.62,34.72
16.74,19.8,22.98,10.65,1.57,73
10.66,20.28,29.24,6.71,4.84,71.73
6.23,10.48,8.89,11.31,4.27,57.3
8.01,17.29,24.66,7.71,4.66,66.74
18.99,34.59,51.83,7.68,4.92,64.34
3.91,12.95,15.87,7.6,4.23,51.99
62.94,15.7,59.86,21.67,5.23,78.88
35.21,33.14,49.46,34.95,1.71,72.84
56.69,20.36,41.96,32.72,1.62,57.56
62.58,9.44,47.44,32.33,2.16,73.72
82.48,1.36,43.08,31.9,1.48,60.16
51.52,3.5,29.43,28.91,1.65,53.17
59.86,14.05,53.61,32.86,1.98,66.41
40.36,10.52,52.85,44.13,1.39,48.03
32.97,8.17,34.1,31.23,1.52,39.12
19.9,11.97,28.2,34.62,1.43,37.6
28.46,7.91,24.23,29.58,1.87,43.48
9.68,8.79,14.61,27.75,1.75,43.16
47.86,8.79,42.01,38.3,1.66,49.11
13.21,33.4,31.09,25.61,1.65,55.71
45.49,17.06,45.6,37.2,1.75,53.83
6.31,8.07,6.53,25.57,1.71,33.35
5.82,6.74,5.39,24.9,1.67,30.29
9.07,13.9,13.85,24.21,1.63,29.71
8.25,18.76,17.14,24.5,1.91,33.27
12.91,20.01,21.32,24.68,1.76,30.18
15.41,22.42,23.4,25.38,1.75,32.91
25.24,26.98,34.67,25.92,1.76,40.89
47.77,14.76,41.23,50.62,1.47,38.16
14.27,13.67,18.39,25.25,1.72,26
14.22,4.45,12.04,25.97,1.87,36.8
22.6,6.21,21.93,28.19,1.6,42.03
31.42,15.57,43.15,29.18,2.1,48.15
10.88,9.57,12.01,25.13,1.81,31.47
17.01,1.5,9.14,26.44,1.72,34.42
20.58,11.73,14.61,27.58,1.87,33.1
21.05,10.7,23.79,27.74,1.88,43.34
20.28,7.81,9.08,26.73,1.67,31.95
41.39,8.06,24.69,21.07,2.15,43.6
13.05,6.86,8.18,13.52,1.98,32.74
13.7,8.64,7.91,13.87,1.75,28.21
16.44,10.59,9.34,14.47,1.71,29.27
18.02,9.89,11.65,14.18,1.68,27.9
46.97,24.09,33.93,19.82,1.64,28.88
21.51,12.13,16.91,14.32,1.71,27.79
18.63,19.01,20.39,12.86,1.73,30.21
12.43,11.83,11,12.69,1.78,26.53
18.47,12.55,14.57,12.61,1.91,36.4
16.04,19.67,25.46,11.41,2.28,31.34
17.81,11.66,19.45,13.24,1.94,42.47
17.37,14.27,19.01,13,1.94,35.35
17.22,8.09,16.1,13.43,2.35,48.31
11.84,17.9,24.3,10.1,2.12,51.73
11.37,10.98,11.98,12.93,1.85,37.53
11.44,15.3,8.91,13.74,1.86,44.62
17.49,11.58,10.78,18.83,2,42.17
28.29,11.43,33.26,19.61,2.14,39.94
34.88,14.84,36.51,20.82,2.41,45.46
23.92,12.91,28.65,20.28,2.16,43.89
30.44,7.05,27.72,22.07,2.38,51.82
26.59,6.14,25.68,21.53,2.27,47.43
44.73,5.03,36.31,22.35,2.41,56.17
45.82,3.42,35.92,21.86,2.3,53.27
49.75,3.85,38.02,21.4,2.29,53.25
24.64,5.04,27.07,19.92,2.27,51.4
21.82,3.97,22.04,19.74,2.32,53.9
17.94,2.07,15.4,19.25,2.06,43.46
24.1,3.49,21.05,19.34,2.15,37.22
31.62,3.09,27.21,20.04,2.39,43.62
27.63,3.43,23.18,20.19,2.44,48.48
27.12,2.51,21.98,20.68,2.41,53.46
23.12,2.17,19.31,19.71,2.49,53.34
44.6,2.21,34.8,26.69,2.45,58.6
30.33,0.05,23.14,19.34,2.43,57.85
53.24,1.26,47.86,27.14,2.29,53.82
48.5,2.87,35.09,20.88,2.58,53.43
34.42,2.79,27.34,21.37,2.51,62.82
26.72,3.96,25.24,21.2,2.62,70.78
15.1,3.33,15.69,20.38,2.29,70.25
24.05,1.51,16.87,20.04,2.27,54.34
44.39,2.26,30.82,21.58,2.44,52.31
60.36,0.92,42.21,23.82,2.64,56.76
49.26,4.56,37.4,23.7,2.66,7.1
28.97,3.61,25.84,21.87,2.68,5.44
22.75,0.09,15.2,21.1,2.64,2.64
16.2,2.82,13.15,20.57,2.3,0.56
23.51,1.72,21.69,22.13,2.53,19.91
31.2,6.53,25.27,21.88,2.64,19.29
37.02,1.15,25.99,21.5,2.59,17.81
23.72,1.49,23.58,19,2.65,15.2
221.74,79.92,146.19,26.32,3.08,12.57
107.23,4.85,74.17,25.23,2.41,9.4
173.27,8.82,109.46,27.34,2.67,8.77
105.53,19.71,82.97,24.7,2.9,16.61
106.29,24.98,83.31,24.19,2.54,16.59
131.63,6.61,88.74,24.31,2.44,10.61
139.91,13.5,96.36,25.14,2.78,22.49
53.97,8.34,49.57,23.13,2.58,21.46
77.56,16.32,66.47,23.62,2.36,19.32
144.06,13.43,101.92,25.15,2.65,22.2
175.51,15.81,121.28,25.46,2.74,24.99
153.31,5.87,104.39,27.7,2.97,21.9
100.27,2.53,70.86,26.93,2.5,15.37
60.53,2.11,44.87,26.18,2.27,10.09
59.47,0.24,42.32,24.32,2.26,8.07
104.96,2.3,68.67,25.52,2.54,9.88
80.51,2.04,54.07,24.02,2.48,10.22
76.44,2.05,51.36,25.01,2.44,10.78
103.53,15.89,76.84,25.22,2.69,23.79
80.28,9.45,58.46,24.16,2.5,18.34
140.37,19.45,99.46,25.23,3.06,25.67
268.03,14.57,172.36,48.64,3.25,24.95
