NO,NO2,NOx,NH3,CO,SO2
4.16,17.41,12.79,17.82,0.81,11.24
3.61,26.27,16.89,18.04,0.65,13.38
2.84,21.04,13.5,19.86,0.74,6.28
3.45,13.45,10.13,18.22,0.97,14.1
3.1,12.18,9,16.71,0.43,12.28
6.24,14.01,12.61,15.48,0.92,14.67
8.3,22.94,19.06,19.43,0.82,27
8.17,27.49,21.37,18.56,0.84,13.47
6.87,28.22,20.75,19.6,0.62,17.33
9.61,12.53,14.66,22.26,0.71,11.43
15.55,15.29,20.86,15.78,0.85,14.92
10.61,14.9,16.55,16.9,0.84,11.9
6.59,12.51,12.1,18.93,0.75,8.48
20.22,13.81,23.79,16.77,0.72,7.25
8.07,14.11,14.6,16.96,0.79,19.9
7.63,14.53,14.09,16.17,0.54,13.81
6.94,17.79,15.2,15.01,0.84,12.41
8.38,25.91,20.65,17.96,0.76,14.31
11.84,36.24,28.91,26.12,0.86,10.92
14.4,35.17,30.56,16.36,1.44,13.94
22.45,52.69,46.28,18.53,1.07,25.5
5.52,26.45,18.96,21.36,0.81,31.74
3.63,26.71,17.34,17.82,1.02,27.31
4.32,29.54,19.32,17.01,0.6,24.37
5.83,28.13,19.71,19.97,0.88,16.73
4.9,24.58,17.06,22.01,0.95,10.6
8.26,27.36,21.36,20.86,1.09,9.33
10.35,25.38,22,19.19,1.07,10.8
6.04,18.92,15.15,19.77,0.94,10.51
7.73,41.66,28.64,15.61,1.21,38.88
11.55,25.88,23.25,14.58,1.29,11.32
4.41,25.81,17.47,15.53,1.17,19.34
4.1,37.63,23.5,13.51,1.66,13.7
9.84,36.38,27.43,16.01,1.18,13.43
1.79,45.82,25.35,14.06,1.35,23.42
1.52,38.23,21.54,13.73,0.88,15.52
1.38,36.77,20.23,15.37,1.16,28.74
1.23,36.24,20.27,14.82,1.26,14.54
1.24,19.63,11.45,12.35,0.88,10.4
5.59,35.39,21.13,15.23,0.6,12.5
9.13,36.62,27.06,1.81,0.84,8.95
